,Experiment name:,WILLIAMP2;
Duration:,2 0;
Rate:,100 per second;
Sensors:,Blood pressure (ID 3  Exp 1);
Range:,mm Hg;
Units:,mm Hg;
Time;
'0:0:3.27;129.36
'0:0:3.28;131.91
'0:0:3.29;135.66
'0:0:3.3;137.96
'0:0:3.31;140.87
'0:0:3.32;142.08
'0:0:3.33;143.29
'0:0:3.34;143.41
'0:0:3.35;143.17
'0:0:3.36;142.69
'0:0:3.37;142.08
'0:0:3.38;141.72
'0:0:3.39;141.35
'0:0:3.4;141.11
'0:0:3.41;140.75
'0:0:3.42;140.51
'0:0:3.43;140.26
'0:0:3.44;140.14
'0:0:3.45;139.78
'0:0:3.46;139.66
'0:0:3.47;139.54
'0:0:3.48;139.3
'0:0:3.49;139.17
'0:0:3.5;139.17
'0:0:3.51;138.93
'0:0:3.52;138.93
'0:0:3.53;138.81
'0:0:3.54;138.81
'0:0:3.55;140.51
'0:0:3.56;142.32
'0:0:3.57;145.96
'0:0:3.58;148.38
'0:0:3.59;152.01
'0:0:3.6;153.95
'0:0:3.61;156.5
'0:0:3.62;157.71
'0:0:3.63;158.8
'0:0:3.64;158.8
'0:0:3.65;158.31
'0:0:3.66;157.83
'0:0:3.67;157.46
'0:0:3.68;157.1
'0:0:3.69;156.86
'0:0:3.7;156.5
'0:0:3.71;156.25
'0:0:3.72;156.01
'0:0:3.73;155.77
'0:0:3.74;155.65
'0:0:3.75;155.41
'0:0:3.76;155.28
'0:0:3.77;155.16
'0:0:3.78;155.04
'0:0:3.79;154.92
'0:0:3.8;154.8
'0:0:3.81;154.56
'0:0:3.82;154.44
'0:0:3.83;154.32
'0:0:3.84;154.19
'0:0:3.85;154.07
'0:0:3.86;153.95
'0:0:3.87;153.83
'0:0:3.88;153.71
'0:0:3.89;153.59
'0:0:3.9;153.59
'0:0:3.91;153.47
'0:0:3.92;153.35
'0:0:3.93;153.23
'0:0:3.94;153.23
'0:0:3.95;153.23
'0:0:3.96;153.1
'0:0:3.97;152.98
'0:0:3.98;152.86
'0:0:3.99;152.86
'0:0:4.0;152.74
'0:0:4.01;152.74
'0:0:4.02;152.74
'0:0:4.03;152.62
'0:0:4.04;152.5
'0:0:4.05;152.38
'0:0:4.06;152.5
'0:0:4.07;152.26
'0:0:4.08;152.26
'0:0:4.09;152.13
'0:0:4.1;152.13
'0:0:4.11;152.01
'0:0:4.12;152.01
'0:0:4.13;152.01
'0:0:4.14;152.01
'0:0:4.15;151.89
'0:0:4.16;152.01
'0:0:4.17;154.07
'0:0:4.18;156.25
'0:0:4.19;160.13
'0:0:4.2;162.92
'0:0:4.21;167.03
'0:0:4.22;169.7
'0:0:4.23;173.45
'0:0:4.24;175.76
'0:0:4.25;178.78
'0:0:4.26;180.48
'0:0:4.27;182.3
'0:0:4.28;182.78
'0:0:4.29;183.02
'0:0:4.3;182.66
'0:0:4.31;182.05
'0:0:4.32;181.81
'0:0:4.33;181.33
'0:0:4.34;180.96
'0:0:4.35;180.72
'0:0:4.36;180.6
'0:0:4.37;180.24
'0:0:4.38;180.12
'0:0:4.39;179.87
'0:0:4.4;179.63
'0:0:4.41;179.51
'0:0:4.42;179.39
'0:0:4.43;179.15
'0:0:4.44;179.15
'0:0:4.45;178.9
'0:0:4.46;178.78
'0:0:4.47;178.66
'0:0:4.48;178.54
'0:0:4.49;178.42
